Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
chem_qasm/N2+2/N2+2_sto-3g_BK_0.001_uccsd.qasm,10,0.0640,0.0930
chem_qasm/N2+2/N2+2_sto-3g_BK_1e-05_uccsd.qasm,16,11.1830,16.6990
chem_qasm/N2+2/N2+2_sto-3g_BK_1e-07_uccsd.qasm,16,13.0110,18.8160
chem_qasm/N2+2/N2+2_sto-3g_BK_1e-09_uccsd.qasm,16,11.4010,18.0320
chem_qasm/N2+2/N2+2_sto-3g_BK_1e-12_uccsd.qasm,16,10.4390,16.2480
chem_qasm/N2+2/N2+2_sto-3g_BK_ref.qasm,16,10.5690,16.3910
chem_qasm/N2+2/N2+2_sto-3g_JW_0.001_uccsd.qasm,16,5.6180,10.3220
chem_qasm/N2+2/N2+2_sto-3g_JW_1e-05_uccsd.qasm,16,7.6160,16.1030
chem_qasm/N2+2/N2+2_sto-3g_JW_1e-07_uccsd.qasm,16,6.5560,14.3950
chem_qasm/N2+2/N2+2_sto-3g_JW_1e-09_uccsd.qasm,16,6.3010,14.1270
chem_qasm/N2+2/N2+2_sto-3g_JW_1e-12_uccsd.qasm,16,6.2760,14.0920
chem_qasm/N2+2/N2+2_sto-3g_JW_ref.qasm,16,6.2870,14.1210
chem_qasm/C2H2/C2H2_sto-3g_BK_0.001_uccsd.qasm,20,43.2800,460.7720
chem_qasm/C2H2/C2H2_sto-3g_BK_1e-05_uccsd.qasm,20,71.7120,650.5930
chem_qasm/C2H2/C2H2_sto-3g_BK_1e-07_uccsd.qasm,20,70.6730,652.4220
chem_qasm/C2H2/C2H2_sto-3g_BK_1e-09_uccsd.qasm,20,70.2220,650.7280
chem_qasm/C2H2/C2H2_sto-3g_BK_1e-12_uccsd.qasm,20,76.9210,675.0780
chem_qasm/C2H2/C2H2_sto-3g_BK_ref.qasm,20,80.7220,681.7630
chem_qasm/C2H2/C2H2_sto-3g_JW_0.001_uccsd.qasm,20,6.4980,519.1620
chem_qasm/C2H2/C2H2_sto-3g_JW_1e-05_uccsd.qasm,20,11.2940,728.4580
chem_qasm/C2H2/C2H2_sto-3g_JW_1e-07_uccsd.qasm,20,11.4890,763.6450
chem_qasm/C2H2/C2H2_sto-3g_JW_1e-09_uccsd.qasm,20,11.3230,723.1630
chem_qasm/C2H2/C2H2_sto-3g_JW_1e-12_uccsd.qasm,20,11.3130,731.3320
chem_qasm/C2H2/C2H2_sto-3g_JW_ref.qasm,20,11.3780,752.9340
chem_qasm/N2_1.22/N2_1.22_sto-3g_BK_0.001_uccsd.qasm,16,3.4660,4.8230
chem_qasm/N2_1.22/N2_1.22_sto-3g_BK_1e-05_uccsd.qasm,16,3.2750,4.8720
chem_qasm/N2_1.22/N2_1.22_sto-3g_BK_1e-07_uccsd.qasm,16,3.3870,4.9720
chem_qasm/N2_1.22/N2_1.22_sto-3g_BK_1e-09_uccsd.qasm,16,3.8080,6.0080
