Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node1-p1.qasm,10,0.4630,0.5220
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node10-p1.qasm,10,0.0330,0.0530
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node11-p1.qasm,10,0.4650,0.5230
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node12-p1.qasm,10,0.0730,0.0920
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node13-p1.qasm,10,0.0350,0.0550
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node14-p1.qasm,10,0.1610,0.1860
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node15-p1.qasm,10,0.5370,0.6030
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node16-p1.qasm,10,0.0610,0.0820
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node17-p1.qasm,10,0.0300,0.0480
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node18-p1.qasm,10,0.0310,0.0490
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node19-p1.qasm,10,0.0400,0.0620
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node2-p1.qasm,10,0.0600,0.0810
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node20-p1.qasm,10,0.0340,0.0540
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node21-p1.qasm,10,0.4680,0.5260
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node22-p1.qasm,10,0.0610,0.0820
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node23-p1.qasm,10,0.1390,0.1570
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node24-p1.qasm,10,0.0410,0.0640
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node25-p1.qasm,10,0.0670,0.0890
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node26-p1.qasm,10,0.0610,0.0820
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node27-p1.qasm,10,0.0370,0.0560
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node28-p1.qasm,10,0.0600,0.0840
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node29-p1.qasm,10,0.0580,0.0800
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node3-p1.qasm,10,0.0330,0.0530
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node30-p1.qasm,10,0.0380,0.0600
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node31-p1.qasm,10,0.0330,0.0540
qcitcoin-tn-files/maxcut-circ-bat-1/3regRand10Node32-p1.qasm,10,0.4720,0.5280
