dim,kary,level,vertices,edges,operator_position,algorithm,treewidth,time
1,2,9,87,147,363,meiji-e,8,3.259
1,2,9,130,218,0-357,meiji-e,8,3.456
1,2,7,84,141,0-10,meiji-e,9,7.268
1,2,9,71,119,160,meiji-e,8,1.803
1,2,10,136,228,0-473,meiji-e,9,8.369
1,2,9,122,204,0-273,meiji-e,8,2.135
1,2,10,120,202,0-27,meiji-e,9,12.294
1,2,10,85,143,401,meiji-e,8,2.114
1,2,7,94,157,0-121,meiji-e,8,1.811
1,2,8,77,130,31,meiji-e,8,2.663
1,2,9,120,201,0-169,meiji-e,9,6.953
1,2,9,134,225,0-262,meiji-e,8,3.666
1,2,10,150,252,0-691,meiji-e,8,4.538
1,2,9,83,140,76,meiji-e,8,2.67
1,2,9,134,225,0-278,meiji-e,8,3.702
1,2,9,67,112,321,meiji-e,8,1.578
1,2,9,120,201,0-136,meiji-e,9,6.084
1,2,10,97,164,395,meiji-e,8,3.967
1,2,10,150,252,0-830,meiji-e,8,4.008
1,2,9,124,208,0-220,meiji-e,9,9.413
1,2,9,87,147,335,meiji-e,8,3.21
1,2,9,75,126,273,meiji-e,8,2.158
1,2,9,83,140,269,meiji-e,8,2.606
1,2,10,93,157,60,meiji-e,8,2.836
1,2,8,100,167,0-80,meiji-e,9,3.925
1,2,10,93,157,973,meiji-e,8,3.112
1,2,10,150,252,0-663,meiji-e,8,5.338
1,2,10,97,164,750,meiji-e,8,3.885
1,2,10,124,207,0-320,meiji-e,9,4.74
1,2,8,77,130,103,meiji-e,8,2.638
1,2,9,128,215,0-239,meiji-e,9,11.289
1,2,10,97,164,806,meiji-e,8,3.597
1,2,10,85,143,624,meiji-e,8,2.253
1,2,10,128,215,0-77,meiji-e,9,12.807
1,2,8,69,116,185,meiji-e,8,2.027
1,2,10,142,238,0-681,meiji-e,8,3.126
1,2,10,144,242,0-386,meiji-e,9,12.591
1,2,10,89,150,169,meiji-e,8,2.478
1,2,10,89,150,808,meiji-e,8,2.699
1,2,8,65,109,112,meiji-e,8,1.814
1,2,10,144,242,0-471,meiji-e,9,12.43
1,2,10,138,231,0-593,meiji-e,8,3.051
1,2,9,134,225,0-370,meiji-e,8,3.932
1,2,10,144,242,0-278,meiji-e,9,13.713
1,2,8,61,102,224,meiji-e,8,1.503
1,2,10,97,164,482,meiji-e,8,3.484
1,2,10,89,150,696,meiji-e,8,2.063
1,2,9,87,147,139,meiji-e,8,2.751
1,2,10,81,136,97,meiji-e,8,2.026
1,2,9,79,133,489,meiji-e,8,2.311
1,2,10,132,221,0-464,meiji-e,9,6.313
1,2,10,97,164,698,meiji-e,8,3.295
1,2,10,85,143,881,meiji-e,8,2.182
1,2,9,134,225,0-330,meiji-e,8,3.721
1,2,8,114,191,0-205,meiji-e,8,2.647
1,2,9,79,133,217,meiji-e,8,2.255
1,2,10,97,164,655,meiji-e,8,3.587
1,2,10,140,235,0-356,meiji-e,9,10.87
1,2,10,93,157,36,meiji-e,8,2.854
1,2,9,116,195,0-62,meiji-e,9,11.218
1,2,9,118,198,0-116,meiji-e,9,10.272
1,2,9,75,126,48,meiji-e,8,2.037
1,2,10,89,150,392,meiji-e,8,2.563
1,2,10,110,185,0-12,meiji-e,9,9.898
1,2,9,130,218,0-292,meiji-e,8,3.265
1,2,10,85,143,528,meiji-e,8,2.455
1,2,10,142,238,0-824,meiji-e,8,3.582
1,2,9,126,211,0-265,meiji-e,8,2.943
1,2,10,73,122,640,meiji-e,8,1.593
1,2,8,102,171,0-44,meiji-e,9,7.057
1,2,4,46,76,0-8,meiji-e,7,0.85
1,2,10,150,252,0-795,meiji-e,8,4.4
1,2,9,83,140,221,meiji-e,8,2.683
1,2,8,88,148,0-6,meiji-e,9,10.266
1,2,7,102,171,0-107,meiji-e,8,2.388
1,2,10,144,242,0-338,meiji-e,9,13.075
1,2,8,108,181,0-116,meiji-e,9,7.09
1,2,9,124,208,0-165,meiji-e,9,8.828
1,2,10,138,232,0-138,meiji-e,9,14.691
1,2,9,83,140,316,meiji-e,8,2.405
1,2,10,97,164,859,meiji-e,8,3.992
1,2,10,150,252,0-971,meiji-e,8,4.71
1,2,10,89,150,25,meiji-e,8,2.676
1,2,10,97,164,1007,meiji-e,8,3.258
1,2,8,69,116,73,meiji-e,8,1.9
1,2,10,97,164,126,meiji-e,8,3.068
1,2,10,144,242,0-282,meiji-e,9,12.38
1,2,10,97,164,383,meiji-e,8,3.641
1,2,10,97,164,739,meiji-e,8,3.522
1,2,8,73,123,245,meiji-e,8,2.363
1,2,10,140,235,0-508,meiji-e,9,10.043
1,2,10,93,157,221,meiji-e,8,3.276
1,2,9,87,147,358,meiji-e,8,2.631
1,2,4,54,90,0-10,meiji-e,8,1.655
1,2,9,79,133,505,meiji-e,8,2.257
