regularity,vertices,seed,tree-decomp-width,algorithm,tree-decomp-time,simulation-time
3,10,0,4,freetdi,0.004,0.0917196
3,10,1,4,freetdi,0.004,0.0950343
3,10,2,6,freetdi,0.003,0.168824
3,10,3,5,freetdi,0.006,0.108462
3,10,4,6,freetdi,0.005,0.198836
3,10,5,6,freetdi,0.006,0.165958
3,10,6,5,freetdi,0.008,0.103641
3,10,7,5,freetdi,0.006,0.11607
3,10,8,5,freetdi,0.006,0.118151
3,10,9,5,freetdi,0.01,0.124475
3,10,10,5,freetdi,0.005,0.108792
3,10,11,5,freetdi,0.006,0.129817
3,10,12,5,freetdi,0.005,0.107476
3,10,13,4,freetdi,0.008,0.0964069
3,10,14,4,freetdi,0.003,0.0824678
3,10,15,5,freetdi,0.003,0.137839
3,10,16,5,freetdi,0.005,0.107462
3,10,17,5,freetdi,0.006,0.12965
3,10,18,6,freetdi,0.009,0.198403
3,10,19,5,freetdi,0.005,0.108754
3,10,20,5,freetdi,0.007,0.108358
3,10,21,5,freetdi,0.009,0.106374
3,10,22,5,freetdi,0.007,0.128603
3,10,23,5,freetdi,0.003,0.111675
3,10,24,5,freetdi,0.007,0.109204
3,10,25,4,freetdi,0.007,0.0975698
3,10,26,5,freetdi,0.007,0.118328
3,10,27,5,freetdi,0.007,0.106736
3,10,28,5,freetdi,0.005,0.114619
3,10,29,5,freetdi,0.008,0.104942
3,10,30,5,freetdi,0.005,0.113328
3,10,31,6,freetdi,0.005,0.242944
3,10,32,5,freetdi,0.004,0.101578
3,10,33,5,freetdi,0.006,0.12466
3,10,34,5,freetdi,0.009,0.1211
3,10,35,5,freetdi,0.003,0.115375
3,10,36,4,freetdi,0.002,0.0972125
3,10,37,5,freetdi,0.006,0.103244
3,10,38,5,freetdi,0.004,0.127381
3,10,39,5,freetdi,0.005,0.106503
3,10,40,5,freetdi,0.007,0.101813
3,10,41,5,freetdi,0.01,0.130574
3,10,42,5,freetdi,0.006,0.105712
3,10,43,5,freetdi,0.007,0.10224
3,10,44,5,freetdi,0.003,0.111217
3,10,45,5,freetdi,0.007,0.129466
3,10,46,4,freetdi,0.004,0.0808322
3,10,47,6,freetdi,0.002,0.168588
3,10,48,5,freetdi,0.006,0.113228
